,movie,year,imdb,metascore,votes
1371,The Death of Stalin,2017,7.2,88        ,65322
1372,All the Money in the World,2017,6.8,72        ,61826
1373,Cars 3,2017,6.7,59        ,61726
1374,Shot Caller,2017,7.3,59        ,60322
1375,American Assassin,2017,6.2,45        ,59047
1376,Jigsaw,2017,5.8,39        ,58584
1377,The Mountain Between Us,2017,6.4,48        ,58120
1378,The Ritual,2017,6.3,57        ,58078
1379,A Dog's Purpose,2017,7.1,43        ,55852
1380,Hostiles,2017,7.2,65        ,55428
1381,Good Time,2017,7.3,80        ,54428
1382,Daddy's Home 2,2017,6.0,30        ,50443
1383,The Snowman,2017,5.1,23        ,49347
1384,The Emoji Movie,2017,3.2,12        ,49244
1385,Paddington 2,2017,7.8,88        ,47966
1386,A Ghost Story,2017,6.8,84        ,47613
1387,Brawl in Cell Block 99,2017,7.1,79        ,47337
1388,Only the Brave,2017,7.7,72        ,46928
1389,Pitch Perfect 3,2017,5.8,40        ,46398
1390,The Square,2017,7.2,73        ,45212
1391,Battle of the Sexes,2017,6.7,73        ,44177
1392,The Beguiled,2017,6.3,77        ,44063
1393,The Space Between Us,2017,6.4,33        ,42247
1394,Detroit,2017,7.3,77        ,41326
1395,Ferdinand,2017,6.7,58        ,41312
1396,Loving Vincent,2017,7.8,62        ,41195
1397,Rough Night,2017,5.2,51        ,40732
1398,47 Meters Down,2017,5.6,52        ,40557
1399,Before I Fall,2017,6.4,58        ,40072
1400,I Don't Feel at Home in This World Anymore.,2017,6.9,75        ,39275
1401,1922,2017,6.3,70        ,38713
1402,CHIPS,2017,6.0,28        ,37903
1403,Jungle,2017,6.7,48        ,36891
1404,Fist Fight,2017,5.6,37        ,35722
1405,Papillon,2017,7.1,51        ,35637
1406,War Machine,2017,6.0,56        ,35492
1407,First Reformed,2017,7.1,85        ,35475
1408,Flatliners,2017,5.2,27        ,34701
1409,The House,2017,5.6,30        ,34698
1410,Rings,2017,4.5,25        ,34691
1411,Mudbound,2017,7.4,85        ,34588
1412,Stronger,2017,6.9,76        ,34451
1413,A Bad Moms Christmas,2017,5.5,42        ,33911
1414,To the Bone,2017,6.8,64        ,33718
1415,The Zookeeper's Wife,2017,7.0,57        ,32722
1416,Suburbicon,2017,5.6,42        ,32282
1417,The Meyerowitz Stories (New and Selected),2017,6.9,79        ,30781
1418,Snatched,2017,4.5,45        ,30552
1419,The Upside,2017,6.8,46        ,30313
1420,Girls Trip,2017,6.2,71        ,30114
1421,Icarus,2017,7.9,68        ,30041
1422,Kidnap,2017,5.9,44        ,29556
1423,Cargo,2017,6.3,65        ,28424
1424,Revenge,2017,6.3,81        ,28131
1425,Ingrid Goes West,2017,6.6,71        ,27895
1426,"Everything, Everything",2017,6.4,52        ,27857
1427,The Wife,2017,7.2,77        ,27042
1428,The Shack,2017,6.3,32        ,26558
1429,Thoroughbreds,2017,6.7,75        ,26310
1430,Sleepless,2017,5.6,34        ,26296
1431,Victoria & Abdul,2017,6.8,58        ,26080
1432,The Discovery,2017,6.3,54        ,25049
1433,Ghost Stories,2017,6.4,68        ,24583
1434,Unlocked,2017,6.2,46        ,24448
1435,The Glass Castle,2017,7.2,56        ,24381
1436,"Roman J. Israel, Esq.",2017,6.4,58        ,24251
1437,I Kill Giants,2017,6.2,74        ,24210
1438,Nelyubov,2017,7.6,86        ,24136
1439,Home Again,2017,5.8,41        ,23436
1440,Table 19,2017,5.8,40        ,23326
1441,Avengers: Infinity War,2018,8.5,68        ,697235
1442,Black Panther,2018,7.3,88        ,533652
1443,Deadpool 2,2018,7.7,66        ,407928
1444,Bohemian Rhapsody,2018,8.0,49        ,370145
1445,A Quiet Place,2018,7.5,82        ,316959
1446,Ready Player One,2018,7.5,64        ,311615
1447,Venom,2018,6.7,35        ,296567
1448,Aquaman,2018,7.1,55        ,284163
1449,A Star Is Born,2018,7.7,88        ,268055
1450,Ant-Man and the Wasp,2018,7.1,70        ,256215
1451,Spider-Man: Into the Spider-Verse,2018,8.5,87        ,245994
1452,Mission: Impossible - Fallout,2018,7.8,86        ,242911
1453,Annihilation,2018,6.9,79        ,235612
1454,Solo: A Star Wars Story,2018,7.0,62        ,233412
1455,Green Book,2018,8.2,69        ,230492
1456,Bird Box,2018,6.6,51        ,229321
1457,Jurassic World: Fallen Kingdom,2018,6.2,51        ,226363
1458,Incredibles 2,2018,7.7,80        ,212186
1459,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52        ,173786
1460,Game Night,2018,6.9,66        ,168663
1461,Tomb Raider,2018,6.3,48        ,167422
1462,Hereditary,2018,7.3,87        ,165606
1463,BlacKkKlansman,2018,7.5,83        ,159396
1464,Ocean's Eight,2018,6.2,61        ,150523
1465,Red Sparrow,2018,6.6,53        ,140867
1466,First Man,2018,7.3,84        ,130559
1467,The Favourite,2018,7.6,90        ,126005
1468,The Meg,2018,5.7,46        ,121758
1469,Rampage,2018,6.1,45        ,120089
1470,Isle of Dogs,2018,7.9,82        ,112596
1471,Upgrade,2018,7.5,67        ,111814
1472,Roma,2018,7.8,96        ,111380
1473,Searching,2018,7.7,71        ,106297
1474,Crazy Rich Asians,2018,6.9,74        ,105165
1475,The Equalizer 2,2018,6.7,50        ,103719
1476,Bumblebee,2018,6.8,66        ,102611
1477,Sicario: Day of the Soldado,2018,7.1,61        ,100211
1478,The Predator,2018,5.4,48        ,99205
1479,Ralph Breaks the Internet,2018,7.1,71        ,97577
1480,Bad Times at the El Royale,2018,7.1,60        ,96738
1481,The Nun,2018,5.4,46        ,96495
1482,Halloween,2018,6.6,67        ,94286
1483,Maze Runner: The Death Cure,2018,6.2,50        ,94044
1484,The Ballad of Buster Scruggs,2018,7.3,79        ,92276
1485,Pacific Rim: Uprising,2018,5.6,44        ,91883
1486,A Simple Favor,2018,6.8,67        ,90777
1487,Tag,2018,6.5,56        ,90410
1488,The Commuter,2018,6.3,56        ,85917
1489,Skyscraper,2018,5.8,51        ,85425
1490,The Cloverfield Paradox,2018,5.5,37        ,84860
1491,"Love, Simon",2018,7.6,72        ,84271
1492,Vice,2018,7.2,61        ,82784
1493,Creed II,2018,7.2,66        ,79246
1494,Mortal Engines,2018,6.1,44        ,76216
1495,Den of Thieves,2018,7.0,49        ,71923
1496,The Mule,2018,7.0,58        ,68569
1497,Widows,2018,6.9,84        ,67216
1498,To All the Boys I've Loved Before,2018,7.2,64        ,66144
1499,Mamma Mia! Here We Go Again,2018,6.7,60        ,63541
1500,Overlord,2018,6.7,60        ,61777
1501,Blockers,2018,6.2,69        ,59262
1502,Mary Poppins Returns,2018,6.8,66        ,58580
1503,Christopher Robin,2018,7.3,60        ,56025
1504,The Spy Who Dumped Me,2018,6.0,52        ,53443
1505,Instant Family,2018,7.3,57        ,52854
1506,Death Wish,2018,6.4,31        ,52328
1507,12 Strong,2018,6.6,54        ,52177
1508,Mile 22,2018,6.1,38        ,51662
1509,Johnny English Strikes Again,2018,6.2,39        ,50088
1510,Mowgli,2018,6.5,51        ,47327
1511,Outlaw King,2018,6.9,59        ,46877
1512,Mandy,2018,6.6,81        ,46836
1513,Robin Hood,2018,5.3,32        ,46637
1514,Eighth Grade,2018,7.5,89        ,46298
1515,Fifty Shades Freed,2018,4.5,31        ,45269
1516,Hotel Transylvania 3: Summer Vacation,2018,6.3,54        ,44511
1517,Alpha,2018,6.7,63        ,44439
1518,Insidious: The Last Key,2018,5.7,49        ,43774
1519,The First Purge,2018,5.1,54        ,43668
1520,Sorry to Bother You,2018,7.0,80        ,43569
1521,Tully,2018,7.0,75        ,42886
1522,Suspiria,2018,6.8,64        ,41855
1523,I Feel Pretty,2018,5.5,48        ,41331
1524,The House That Jack Built,2018,6.8,42        ,39542
1525,Peppermint,2018,6.5,29        ,38612
1526,Extinction,2018,5.8,40        ,38417
1527,Hunter Killer,2018,6.6,43        ,37401
1528,How It Ends,2018,5.0,36        ,37321
1529,Free Solo,2018,8.2,83        ,36516
1530,Adrift,2018,6.6,56        ,36293
1531,Leave No Trace,2018,7.2,88        ,35865
1532,A Wrinkle in Time,2018,4.2,53        ,35801
1533,Les frères Sisters,2018,7.0,78        ,35736
1534,When We First Met,2018,6.4,36        ,35690
1535,The Christmas Chronicles,2018,7.1,52        ,35596
1536,Zimna wojna,2018,7.6,90        ,35551
1537,Manbiki kazoku,2018,8.0,93        ,35218
1538,Truth or Dare,2018,5.1,35        ,35197
1539,The House with a Clock in Its Walls,2018,6.0,57        ,35107
1540,Set It Up,2018,6.5,62        ,33548
1541,Beautiful Boy,2018,7.3,62        ,33499
1542,Unsane,2018,6.4,63        ,33217
1543,Hotel Artemis,2018,6.1,58        ,33107
1544,Can You Ever Forgive Me?,2018,7.1,87        ,32846
1545,The Grinch,2018,6.3,51        ,32189
1546,Apostle,2018,6.3,62        ,31688
1547,The Girl in the Spider's Web,2018,6.1,43        ,31073
1548,American Animals,2018,7.0,68        ,30631
1549,Anon,2018,6.1,54        ,30234
1550,The Old Man & the Gun,2018,6.7,80        ,29406
1551,Peter Rabbit,2018,6.5,51        ,28737
1552,Den skyldige,2018,7.5,83        ,28606
1553,Sierra Burgess Is a Loser,2018,5.9,60        ,28596
1554,If Beale Street Could Talk,2018,7.2,87        ,28357
1555,Climax,2018,7.2,67        ,28139
1556,Mid90s,2018,7.4,66        ,28093
1557,Hold the Dark,2018,5.6,63        ,27729
1558,Overboard,2018,5.9,42        ,27242
1559,Life of the Party,2018,5.6,46        ,27037
1560,Hotel Mumbai,2018,7.6,64        ,26514
1561,Beoning,2018,7.6,90        ,26210
1562,Mary Queen of Scots,2018,6.3,60        ,26194
1563,Night School,2018,5.6,43        ,26008
1564,Mute,2018,5.4,35        ,25945
1565,Smallfoot,2018,6.6,60        ,25496
1566,Winchester,2018,5.4,28        ,25091
1567,Arctic,2018,6.8,71        ,24691
1568,The Titan,2018,4.8,33        ,24432
1569,Capharnaüm,2018,8.5,75        ,24399
1570,Summer of 84,2018,6.7,57        ,24160
1571,Padmaavat,2018,7.0,63        ,23982
1572,The Guernsey Literary and Potato Peel Pie Society,2018,7.4,65        ,23891
1573,Braven,2018,6.1,61        ,23780
1574,The Darkest Minds,2018,5.7,39        ,23055
1575,The 15:17 to Paris,2018,5.2,45        ,22916
1576,The Strangers: Prey at Night,2018,5.2,48        ,22427
1577,Operation Finale,2018,6.5,58        ,22178
1578,"Game Over, Man!",2018,5.4,32        ,22131
1579,Gringo,2018,6.1,46        ,22037
1580,The Perfection,2018,6.1,60        ,21818
1581,Dumplin',2018,6.7,53        ,21613
1582,Tau,2018,5.8,43        ,21172
1583,Slender Man,2018,3.2,30        ,21151
1584,Boy Erased,2018,7.0,69        ,21076
1585,The Nutcracker and the Four Realms,2018,5.5,39        ,21038
1586,Super Troopers 2,2018,6.1,41        ,20871
1587,22 July,2018,6.7,69        ,20804
1588,Under the Silver Lake,2018,6.5,60        ,20612
1589,Replicas,2018,5.4,19        ,20538
1590,Todos lo saben,2018,7.0,68        ,20511
1591,Holmes & Watson,2018,3.8,24        ,20335
1592,The Hate U Give,2018,7.3,81        ,20306
1593,Dragged Across Concrete,2018,7.0,60        ,20194
1594,Book Club,2018,6.1,53        ,20147
1595,Stan & Ollie,2018,7.2,75        ,20042
1596,Blindspotting,2018,7.4,77        ,18767
